S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
444,2015-05-26,2015,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Orangi Town Faqeer Colony,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,1,2,0,0,0,nan
445,2015-05-26,2015,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Orangi Town Faqeer Colony,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,5,0,0,0,nan
446,2015-05-29,2015,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Kalma Chowk near  Qaddafi Stadium,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,1,2,0,6,0,nan
447,2015-06-06,2015,Weekend,Weekend,Sargodha,32.0836,72.6711,Punjab,near Ghausia Market Sargodha,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,2,0,6,0,nan
448,2015-06-08,2015,Working Day,Weekend,North waziristan,32.9746379,70.1455,FATA,near the Afghan border in Pakistan's restive North Waziristan tribal area,Police_Rangers,High,Open,The clashes were marked by an intense exchange of fire between security forces and militants-the report added. Of the 19 militants killed-five were militant commanders. The seven soldiers were killed when one of the militants detonated a suicide vest while being chased by troops.,Police_Rangers,Shiite,7,19,0,0,0,nan
449,2015-06-11,2015,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Peshawar’s Hayatabad area,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,1,2,4,7,0,nan
450,2015-06-29,2015,Working Day,Weekend,Lahore,nan,nan,Punjab,A house in Sheikhupura district,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,1,4,0,0,0,nan
451,2015-07-17,2015,Holiday,Weekend,Quetta,nan,nan,Balochistan,Entrance of a Shiite neighborhood in southwestern Pakistan,Police_Rangers,High,Open,a suicide attacker has detonated his explosive vest at the entrance of a Shiite neighborhood in southwestern Pakistan killing one security guard.,Police_Rangers,Shiite,1,1,0,0,0,nan
452,,2015,Holiday,Weekend,Attock,33.768734,72.362147,Punjab,Political office in Attock’s Shadi Khan area,Police_Rangers,High,Open,Punjab home minister Colonel (retd) Shuja Khanzada was killed in a suicide attack on his political office in Shadi Khan village AttockSunday along with 16 others.,Police_Rangers,Shiite,16,19,23,25,0,nan
453,,2015,Working Day,Weekend,MULTAN,30.193636,71.449009,Punjab,house in the town of Pir Mahal,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,4,4,0,2,0,nan
454,,2015,Working Day,Weekend,Khyber Agency,34.021103,71.287421,KPK,a local government office in Jamrud Bazaar area   Khyber Agency,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,3,6,50,56,0,Hayatabad Medical Complex
455,,2015,Holiday,Weekend,Karachi,24.879503,67.174575,Sindh,Residential Building in Rafah-e-Aam Society in Karachi,Residence,Low,closed,A suicide bomber blew himself up during a joint action by Police & Rangers and Police & Rangers early on Sunday morning in Rafah-e-Aam Society in Karachi. The blast injured 2 Police & Rangers officers. The attackers were scheming for terrorist activities on Eid-ul-Azha.,Police_Rangers,Shiite,1,0,2,0,1,nan
456,,2015,Working Day,Weekend,Taunsa,30.712665,70.658161,Punjab,At PoliticalParty MP's office on College road Taunsa DGK.,Police_Rangers,High,Open,Public meeting with MPA was targeted at political party office.,Police_Rangers,Shiite,7,0,10,20,1,nan
457,,2015,Holiday,Ashura Holiday,Quetta,30.182971,66.998734,Balochistan,Shiite mosque in southwest Pakistan's Sibi district,Religious,High,closed,"Attack took place when the Shiites were holding a gathering ahead of the Ashoura, a key religious event.",Religious,Shiite,10,11,12,15,1,Bhag Hospital
458,,2015,Holiday,Ashura Holiday,Jacobabad,28.274681,68.712889,Sindh,Attack on Muharram Procession in Jacobabad near Lashari Muhalla,Police_Rangers,High,Open,Attack on Muharram procession,Religious,Shiite,22,23,40,0,0,Jacobabad Civil Hospital
459,,2015,Working Day,Weekend,Mardan,34.200114,72.050801,KPK,NADRA office Nisatta Road  Mardan,Government,High,Open,nan,Civilian,Shiite,21,26,50,56,0,district headquarters hospitaldistrict headquarters hospital
460,,2016,Working Day,Weekend,Quetta,30.165686,67.00178,Balochistan,Polio centre in Satellite town Quetta,Police_Rangers,High,Open,Attack on Polio Centre,Civilian,Shiite,15,15,25,36,0,"Civil Hospital, CMH"
461,,2016,Working Day,Weekend,Peshawar,33.999533,71.42502,KPK,check post in Karkhano Market- adjacent to Jamrud in Khyber Agency,Police_Rangers,High,Open,Attack on Check Post,Police_Rangers,Shiite,10,12,20,25,1,Hayatabad Medical Complex
462,,2016,Working Day,Weekend,Zhob,31.341261,69.448659,Balochistan,Suicide Bomber Attacks Army Facility,Police_Rangers,High,Open,nan,Army,Shiite,0,0,5,6,1,Civil Hospital Zhob
463,,2016,Working Day,Weekend,Quetta,30.199805,67.010157,Balochistan,Attack on vehicle of Frontier Corps  near Liaquat Park Quetta,Police_Rangers,High,Open,Attack on vehicle of Frontier Corps,Frontier Corps ,Shiite,9,11,30,35,1,Civil Hospital Quetta- CMH
464,,2016,Working Day,Weekend,Shabqadar-Charsadda,34.149433,71.742781,KPK,Attack outside of session court in Shab-Qadar Charsadda,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,10,20,27,31,1,Lady Reading Hospital
465,,2016,Holiday,Weekend,Lahore,31.51293,74.28899,Punjab,Attack in children's play area of Park in Lahore,Police_Rangers,High,Open,nan,Police_Rangers,Christian,70,72,233,300,1,"Jinnah Hospital,Sheikh Zaid Hospital,Services Hospital,Farooq Hospital,Meo Hospital,Bajwa Hospital"
466,,2016,Working Day,Weekend,Khyber Agency,34.047839,71.28436,FATA,Hujra of Said Jamal in the Kharko Sarhgi area in the Zakhakhel tehsil of Khyber Agency,Residence,High,closed,nan,Civilian,Shiite,2,2,0,0,1,nan
467,,2016,Working Day,Weekend,Mardan,34.207854,72.049453,KPK,Mardan Excise and Taxation Department located in Cantonment Area on Mall Road in Mardan District,Government,High,closed,Attack on Mardan Excise and Taxation Department,Government Official,Shiite,1,1,10,18,1,nan
468,2016-05-30,2016,Working Day,Weekend,Mardan,34.195682,72.037771,KPK,Mardan City Police & Rangers Station,Police_Rangers,High,Open,"Attack on City Police & Rangers Station, Mardan",Police_Rangers,Shiite,1,1,12,15,1,Mardan district hospital.
469,,2016,Working Day,Weekend,Quetta,30.194225,67.008822,Balochistan,"Civil Hospital, Quetta",Government,High,Closed,The fatalities were mainly advocates,Advocates_Lawyers,Shiite,70,70,112,120,0,nan
470,,2016,Working Day,Weekend,Mardan,34.195776,72.036565,KPK,Mardan District Court,Government,High,closed,"Attack on District Court, Mardan",Civilian,Shiite,13,14,52,60,1,nan
471,,2016,Holiday,Eid ul Azha Holiday,Shikarpur,28.002718,68.730383,Sindh,Imambargah,Religious,High,Closed,Attack on Shia Imambargah on Eid ul Azha Prayer,religious,Shiite,0,0,10,13,0,nan
472,,2016,Working Day,Weekend,Mohmand agency ,34.400331,71.560424,FATA,"Jamea Masjid, Pai Khan",Religious,High,Closed,Attack on Masjid During Jumma Prayer,religious,Shiite,16,36,22,0,1,District Headquarters Hospital (DHQ) Bajaur Agency
473,,2016,Working Day,Weekend,Quetta,30.14283,66.98195,Balochistan,Police & Rangers training center,Government,High,Closed,"Attack on Police & Rangers Training Center, Saryab Road, Quetta",Police_Rangers,Shiite,58,61,100,165,2,nan
474,,2016,Weekend,Weekend,Khuzdar,25.776775,67.02239,Balochistan,Dargah Shah Noorani Shrine,Religious,High,Closed,Attack on Dargah Shah Noorani in Khuzdar district,Civilian,Shiite,45,52,100,100,1,"Hub, Khuzdar, Lasbella and Civil Hospital in Karachi"
475,,2016,Weekend,Weekend,Mohmand agency ,34.325826,71.398789,FATA,FC Check Post,Military,High,Open,"Attack Camp of Mohmand Rifles in Mohmand agency Headquarters, Ghalani, Mohmand agency",Military,Shiite,2,2,14,14,4,nan
476,,2017,Working Day,Weekend,Bannu,32.949814,70.60908,KPK,"Police & Rangers Station Mandan, Bannu",Police_Rangers,High,Open,"Attack on Mandan Police & Rangers Station, Bannu",Police_Rangers,Shiite,0,0,2,2,1,DHQ Hospital Bannu
477,,2017,Working Day,Weekend,Lahore,31.555382,74.331873,Punjab,"Mall road, Lahore",Government,High,Open,Attack on pharmaceutical protest,Civilian,Shiite,14,18,83,90,1,1. Mayo Hospital 2.  Sir Ganga Ram Hospital
478,,2017,Working Day,Weekend,"Ghallanai, Mohmand agency ",34.5,71.333333,FATA,"main gate of Mohmand agency headquarters, Ghallanai",Commercial_Residence,High,Open,Attack on paramilitary HQ,Army,Shiite,5,8,0,3,1,Lady Reading Hospital
479,,2017,Working Day,Weekend,Hayatabad,33.986111,71.456944,KPK,Hayatabad Medical Complex,Commercial_Residence,Medium,Open,inauguration of the Out Patient Department (OPD) at the Hayatabad Medical Complex,Civilian Judges,Shiite,1,1,4,18,1,Hayatabad Medical Complex
480,,2017,Working Day,Weekend,"Mosal Kor, Mohmand agency ",34.553808,71.434141,FATA,Office of political agent,Government,High,Open,nan,Government Official,Shiite,1,1,0,0,1,nan
481,,2017,Working Day,Weekend,Sehwan town,26.419314,67.859373,Sindh,Lal Shahbaz Qalandar shrine,Religious,High,Closed,Attack on shia community,Shia sect,shiite,70,72,150,200,1,1. Sehwan Taluka Hospital 2. Combined Military Hospital Hyderabad
482,,2017,Working Day,Weekend,"Tangi, CharsaddaDistrict",34.3,71.653889,KPK,Court,Government,High,Closed,Attack on lawyers and judges,Judges_Lawyers,Shiite,6,7,15,20,2,Lady Reading Hospital
483,,2017,Working Day,Weekend,Lahore,31.463017,74.435675,Punjab,Bedian Road,Police_Rangers,Low,Open,Population Census Team,Military,Shiite,6,7,19,22,0,"Combined Military Hospital (CMH), General Hospital"
484,,2017,Working Day,Weekend,Quetta,29.800833,66.848056,Balochistan,Town of Mastung,Police_Rangers,Low,Open,Sucide bomber wearing an explosive vest carried out the attack.,Government Official,Shiite,25,28,35,37,1,nan
485,,2017,Weekend,Weekend,Kohat,33.38752,71.340408,KPK,Kamal khel area near lachi Kohat,Police_Rangers,Low,Open,Terrorist ambushed a Police & Rangers party while it was on its way to arrest criminals,Police_Rangers,Shiite,1,4,0,0,0,nan
486,,2017,Working Day,Weekend,Quetta,33.88423,70.10878,Balochistan,Parachinar town in the restive tribal bel,Religious,Low,Open,Suicide bombers targeting the capital of Balochistan province and the Shia-majority Parachinar town days before the end of the holy month of Ramzan.,Shia sect,Shiite,30,85,100,0,3,nan
487,,2017,Working Day,Weekend,Chaman,30.90983,66.452402,Balochistan,Boghra Road,Police_Rangers,Low,Open,Sucide bomber wearing an explosive vest carried out the attack.,Police_Rangers,Shiite,1,3,1,11,1,nan
488,,2017,Working Day,Weekend,Peshawar,34.015,71.5805,KPK,near the Afghan border,Military,High,open,suicide bomber riding on a motorcycle hit a Frontier Corps vehicle in Peshawar,Military,Shiite,1,2,1,7,1,nan
489,,2017,Working Day,Weekend,Peshawar,34.015,71.5805,KPK,southwestern Chaman province,Military,High,Open,bomb struck in southwestern Chaman province,Military,Shiite,1,1,1,1,1,nan
490,,2017,Working Day,Weekend,Lahore,31.500875,74.33312,Punjab,near Arfa Karim IT Tower Ferozepur Road,Police_Rangers,Medium,Open,nan,Police_Rangers,Shiite,26,27,56,56,1,"Jinnah Hospital, General Hospital, Ittefaq Hospital"
491,,2017,Weekend,Weekend,Quetta,30.203658,67.004469,Balochistan,Pishin bus stop,Police_Rangers,Medium,Open,the attacker had been carrying 25kg of “incendiary explosives” on a motorcycle that he had rammed into the military truck,Military,Shiite,15,15,40,40,1,nan
492,,2017,Working Day,Weekend,Quetta,28.571051,67.496895,Balochistan,Fateh Pur Shrine in Jhal Magsi village,Religious,High,Open/Closed,at the entrance of shrine,Civilian,Shiite,21,22,25,0,1,"Larkana Hospital, Gandawah District Headquarters Hospital, 1 shifted to Aga Khan Hospital KHI"
493,,2017,Working Day,Weekend,Quetta,nan,nan,Balochistan,Sariab Mill area,Highway,Low,Open,explosives-laden vehicle rammed into a security forces convoy on the Quetta-Sibi Highway,Police_Rangers,Shiite,7,7,22,22,1,nan
494,,2017,Working Day,Weekend,Quetta,30.221057,67.002524,Balochistan,Quetta's Chaman Housing Scheme on airport road,Police_Rangers,Low,Open,AIG Hamid Shakil’s vehicle,Police_Rangers,Shiite,2,2,8,8,1,"Combined Military Hospital (CMH)-(Quetta), Civil Hospital(Quetta)"
495,,2017,Working Day,Weekend,Peshawar,33.970623,71.43862,KPK,"Near Zarghuni Masjid, Phase-2 Hayatabad",Police_Rangers,Low,Open,a Police & Rangers vehicle of AIG Asharf Noor,Police_Rangers,Shiite,1,3,6,8,1,Hayatabad Medical Complex(Peshawar)
496,,2017,Working Day,Weekend,Quetta,30.139626,66.981476,Balochistan,"Sariab Road, near Bus terminal",Military,Medium,Open,"transport for a colonel in Pakistan's armed forces, was parked near a bus terminal",Military,Shiite,4,4,16,22,1,Civil Hospital(Quetta)
