S#,Date,Year,Blast Day Type,Holiday Type,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names
249,2010-03-05,2010,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Mobile,Low,Open,nan,Civilian,Shiite,12,14,30,35,1,1.CMH Tal Hospital 2.District Headquarters hospital hangu
250,2010-03-08,2010,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,High,Open,nan,Military,Shiite,13,14,80,100,1,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital
251,2010-03-12,2010,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,LahoreCant R.A Bazar Stop,Military,High,Open,nan,Military,Sunni,43,57,90,100,2,Children Hospital
252,2010-03-13,2010,Working Day,Weekend,Swat,35.2227,72.4258,KPK,District court Checkpost,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,14,17,52,60,1,1. Judical Complex
253,2010-03-29,2010,Working Day,Weekend,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government,Medium,Closed,nan,Anti_Militants,Sunni,0,2,0,2,1,nan
254,2010-03-29,2010,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Mobile,Low,Open,Leader of anti-militants lashkar,Anti_Militants,Sunni,0,2,5,8,1,Agency headquarter hospital in Khar
255,2010-04-05,2010,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreign,High,Open,nan,foreigner,Christian,6,8,0,0,1,nan
256,2010-04-05,2010,Working Day,Weekend,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara,Hotel,Medium,Open,nan,Government Official,Shiite,50,56,75,120,3,1.Lady Reading Hospital 2.Khaber Teaching Hospital
257,2010-04-16,2010,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Quettacivil Hospital,Hospital,Low,Closed,nan,Government Official,Shiite,0,11,35,40,1,1.Civil Hospital 2.Bolan Medical Complex 3. CMH
258,2010-04-17,2010,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Parks_Grounds,Low,Open,nan,Civilian,Shiite,41,44,60,70,2,1.District Headquarter Hospital  2.Liaqat Hospital
259,2010-04-18,2010,Holiday,Weekend,Kohat,33.5833,71.4333,KPK,KohatPolice & Rangers Station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,0,7,30,32,1,District Headquarter Hospital
260,2010-04-19,2010,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Parks_Grounds,Low,Open,Jamit-i-Islam members,Anti_Militants,Sunni,23,24,27,49,1,Lady Reading Hospital
261,2010-04-28,2010,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Pir Bala Police & Rangers Check post,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,4,5,11,14,1,Lady Reading Hospital
262,2010-05-01,2010,Holiday,Labour Day,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora,Market,Low,Open,nan,Civilian,Shiite,3,7,9,16,1,nan
263,2010-05-02,2010,Holiday,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,High,Open,nan,Military,Shiite,0,0,0,0,1,nan
264,2010-05-28,2010,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Model Town and garhi shahu  Lahore,Religious,Medium,Closed,nan,Civilian,Ahmedi,80,95,92,200,1,nan
265,2010-07-01,2010,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,Medium,Closed,nan,Civilian,Shiite,40,42,0,175,2,"1. Mayo Hospital
2. Sir Ganga Ram Hospital 
3. Services Hospital"
266,2010-07-09,2010,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand agency",Parks_Grounds,Low,Open,nan,Government Official,Shiite,65,80,104,110,2,Lady Reading Hospital Peshwar
267,2010-07-12,2010,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in KohatDistrict,Government,Low,Open,nan,Government Official,Shiite,0,0,0,0,1,nan
268,2010-07-18,2010,Holiday,Weekend,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,Medium,Closed,nan,Religious,Shiite,3,4,9,26,1,nan
269,2010-07-26,2010,Working Day,Weekend,Nowshehra,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house",Residence,Medium,Closed,nan,Government Official,Sunni,0,8,23,25,1,Lady Reading Hospital Peshwar
270,2010-08-04,2010,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Mobile,High,Open,nan,Military,Shiite,3,4,11,14,1,nan
271,2010-08-23,2010,Working Day,Weekend,South waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,Medium,Closed,Pro-Government cleric,Anti_Militants,Sunni,26,30,0,40,1,nan
272,2010-09-01,2010,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk,Parks_Grounds,Low,Open,Yaum-e-Ali,Religious,Shiite,27,43,150,243,3,1)Mayo Hospital 2)Sir ganga Ram Hospital
273,2010-09-03,2010,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,Mizan chowk Quetta,Parks_Grounds,Low,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,Shiite,54,62,150,200,1,1.Combined Miltry Hospital                2.Civil Hospital
274,2010-09-03,2010,Working Day,Weekend,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area,Religious,Medium,Closed,nan,Religious,Shiite,0,1,0,4,1,nan
275,2010-09-06,2010,Holiday,Defence Day,lakki marwat,32.6018,70.9148,KPK,lakki marwat Police & Rangers Station,Police_Rangers,High,Closed,nan,Police_Rangers,Shiite,15,19,34,57,1,1.Civil Hospital      2.DHQ Hospital
276,2010-09-09,2010,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residence,Medium,Open,nan,Government Official,Shiite,2,5,3,6,1,nan
277,2010-10-07,2010,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,Medium,Closed,Attendess at shrine,Religious,Sunni,6,10,60,77,2,"1. JPMC
2. Civil Hospital KHI"
278,2010-10-18,2010,Working Day,Weekend,Lakki marwat,32.6018,70.9148,KPK,jabukhel village,Parks_Grounds,Low,Open,Police & Rangers tried to stop the car but the driver exploded the car in residential area,Civilian,Shiite,0,0,5,14,1,nan
279,2010-11-01,2010,Working Day,Weekend,Swabi ,34.1335,72.4702,KPK,District Shahmanoor Police & Rangers Lines Swabi,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,2,5,10,13,1,1.Judicial Complex
280,2010-11-05,2010,Working Day,Weekend,Dara Adam khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque,Religious,Medium,Closed,nan,Religious,Sunni,61,76,70,132,1,1.District Headqurters Hospital 2.Lady reading hospital
281,2010-11-11,2010,Working Day,Weekend,Karachi,24.9918,66.9911,Sindh,Crime Investigation Department,Military,High,Closed,nan,Military,Shiite,16,20,100,140,1,nan
282,2010-11-11,2010,Working Day,Weekend,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Mobile,Low,open,nan,Military,Shiite,0,0,0,2,1,1.Zahid hospital
283,2010-11-14,2010,Holiday,Weekend,South waziristan,32.3202,69.8597,FATA,Shakai village,Market,Low,Open,nan,Anti_Militants,Sunni,0,1,0,8,1,Wana hospital
284,2010-11-30,2010,Working Day,Weekend,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Mobile,High,Open,Police & Rangers van crossing the chowk,Police_Rangers,Shiite,2,6,6,22,1,nan
285,2010-12-06,2010,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,Fata,"Mohmad Agency-Ghalani area-Political 
Agent office",Government,High,Closed,nan,Government Official,Shiite,40,50,60,100,2,"1.Tehsil Headquarters Ghalani 
2.Lady Reading"
286,2010-12-07,2010,Working Day,Weekend,Quetta,30.2095,67.0182,Balochistan,railway level crossing sryab pattak,Transport,Low,Open,Minister Balochistan,Government Official,Shiite,0,0,10,12,1,CMH
287,2010-12-08,2010,Working Day,Weekend,Kohat,33.5833,71.4333,KPK,KohatBus stand,Transport,Low,Open,nan,Civilian,Shiite,18,20,0,32,1,nan
288,2010-12-10,2010,Working Day,Weekend,Hangu,33.5351,71.0713,KPK,Pass Killay area-under construction Private Hospital,Hospital,Low,Closed,nan,Civilian,Shiite,10,17,16,30,1,Hospitals in KohatDivision
289,2010-12-23,2010,Working Day,Weekend,Islamabad,33.718,73.0718,Capital,Entrance to imambargah,Religious,Medium,Closed,nan,religious,Sunni,0,1,0,2,1,nan
290,2010-12-24,2010,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Mall road peshawar,Police_Rangers,High,Open,Police & Rangers was not sure about the bmbers target,Civilian,Shiite,0,4,0,24,1,lady Reading Hospital-CMH
291,2010-12-25,2010,Holiday,Christmas/ birthday of Quaid-e-Azam,Bajaur Agency,34.8718,71.5249,FATA,WFP office Khar,Foreign,High,Closed,target was Police & Rangers checkpost,Police_Rangers,Shiite,42,47,80,105,1,nan
292,2010-12-27,2010,Working Day,Weekend,Muzaffarabad,34.3597,73.4711,AJK,Procession from Neelam Valley,Parks_Grounds,Medium,Open,nan,religious,Shiite,0,7,0,65,1,nan
293,2011-01-12,2011,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Bannu Police & Rangers Station,Religious,Medium,Closed,nan,Civilian,Sunni,18,20,15,20,1,Bannu's Main hospital
294,2011-01-25,2011,Working Day,Weekend,Lahore,31.5451,74.3407,Punjab,Urdu Bazar intersection on circular road,Police_Rangers,High,Open,Hazrat Imam Hussain Chehlum Procession,Religious,Shiite,11,17,71,80,1,Mayo Hospital-ganagaram hospital
295,2011-01-27,2011,Working Day,Weekend,Bajaur Agency,34.8718,71.5249,FATA,Sarameena area of Khar tehsil in the Bajaur Agency,Military,High,Open,nan,Military,Shiite,0,0,0,0,1,nan
296,2011-01-31,2011,Working Day,Weekend,Peshawar,34.0043,71.5448,KPK,Kohatroad Garhi Kamruddin over head bridge,Mobile,High,Open,Police & Rangers car,Police_Rangers,Shiite,5,7,14,16,1,nan
297,2011-02-10,2011,Working Day,Weekend,Mardan,34.1982,72.0444,KPK,Punjab Regiment Center,Military,High,Open,nan,Military,Shiite,28,36,35,50,1,CMH Mardan-CMH rawalpindi
298,2011-02-11,2011,Working Day,Weekend,Mohmand agency ,32.9746,70.1456,Fata,Dabo Dheri checkpost in Prang Ghar,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,1,0,3,1,nan
299,2011-02-12,2011,Working Day,Weekend,Malakand ,34.503,71.9046,KPK,Batakhel area,Residence,Low,Closed,security forces were trying to arest the bomber,Military,Shiite,1,3,0,0,1,nan
300,2011-02-19,2011,Working Day,Weekend,Bannu,32.935,70.6688,KPK,Police & Rangers station in bannu,Police_Rangers,High,Open,nan,Police_Rangers,Shiite,0,0,0,4,1,nan
